Name,Achilles tendon stress,Ankle plantar/dorsiflexion angle,Ankle in/eversion angle,Ankle plantar/dorsiflexion moment,Ankle in/eversion moment,Ankle power,A/P GRF,Hip ad/abduction moment,Hip in/external rotation moment,Hip power,Knee ad/abduction angle,Knee ad/abduction moment,Knee in/external rotation moment,Ipsi/contralateral pelvic lean,EMG activation for gastrocnemius,EMG activation for soleus
1,6.594265626,21.1552,3.97209,2.71273,0.0698548,12.1481,9.81435,0.408413,-0.0944115,-1.28132,-2.79229,0.883857,0.12447,-14.9384,0.953153407,0.923003505
2,7.319643563,19.4442,3.66038,2.65513,0.0609734,14.1533,9.75216,0.406071,-0.0941727,-1.70703,-2.78137,0.82593,0.121272,-15.4551,0.964420968,0.91158895
3,8.419564153,17.4819,3.33316,2.57826,0.0525331,15.9938,9.63461,0.416777,-0.0944937,-2.06493,-2.69766,0.767008,0.117986,-15.9661,0.971698261,0.900816528
4,10.26864897,15.2713,2.99544,2.481,0.0443906,17.5626,9.44523,0.425656,-0.0918426,-2.42783,-2.54901,0.703638,0.112561,-16.4691,0.976308428,0.889987964
5,13.95753978,12.8201,2.65293,2.35595,0.0354661,18.6632,9.16278,0.431051,-0.0822448,-2.79095,-2.34705,0.634324,0.107988,-16.9622,0.979626707,0.877190889
6,25.12104981,10.1413,2.31173,2.20592,0.0228344,19.2265,8.78267,0.428074,-0.0705324,-3.10847,-2.10714,0.557157,0.0984447,-17.4429,0.982569921,0.863821859
7,5.285153633,25.7564,-2.24194,2.76041,-0.0075591,21.5319,8.87938,0.373215,-0.0440808,-3.9917,-9.16057,0.119168,0.135187,-10.3032,0.944211977,0.848010091
8,5.747945582,23.3188,-2.4495,2.6281,-0.00335143,23.2619,8.65699,0.36306,-0.0310407,-4.17928,-8.62392,0.135968,0.129159,-10.558,0.933699827,0.828779565
9,6.458403708,20.5231,-2.6507,2.46158,0.00114524,24.1884,8.33106,0.339055,-0.0133837,-4.26624,-8.07185,0.147132,0.12098,-10.7906,0.923613071,0.80867865
10,7.704146042,17.3865,-2.83826,2.26457,0.00346102,24.2122,7.88231,0.293888,0.003728,-4.27022,-7.51853,0.149965,0.106507,-10.9984,0.912753243,0.788350678
11,10.41811971,13.9444,-3.00414,2.04197,0.00755915,23.2754,7.30482,0.232743,0.0222714,-4.2072,-6.97852,0.146623,0.0921062,-11.179,0.899688726,0.767410911
12,20.279171,10.2533,-3.14044,1.79201,0.00551495,21.3747,6.61722,0.141485,0.0353498,-4.05541,-6.46584,0.126241,0.0700038,-11.3303,0.884934902,0.745947651
13,1.733685752,29.1417,0.973228,2.24054,-0.0258204,21.3567,7.44202,0.188815,-0.0337304,-7.78442,-3.91573,-0.179918,-0.0570784,-17.8181,0.84862073,0.711931389
14,1.895969525,25.9043,0.570692,2.11122,-0.0179356,22.7457,7.17061,0.165764,-0.02134,-7.39268,-4.1645,-0.171764,-0.0380473,-18.1219,0.840940683,0.695302129
15,2.148167232,22.3298,0.165977,1.95693,-0.00669857,23.4548,6.90243,0.138514,-0.00555226,-6.25909,-4.33385,-0.153182,-0.0235909,-18.382,0.832689932,0.678405455
16,2.59206728,18.4042,-0.231895,1.7687,-0.000619287,23.2068,6.50102,0.0724525,0.000320369,-5.17893,-4.43549,-0.142352,-0.0239066,-18.5987,0.824239435,0.660446771
17,3.610794885,14.1357,-0.612498,1.53971,0.00201858,21.6817,5.87989,-0.0165974,-0.00356398,-4.32921,-4.48363,-0.13708,-0.0325012,-18.7727,0.815837855,0.641878766
18,8.840707259,9.56661,-0.9646,1.273,0.00412739,18.8088,5.07053,-0.109212,-0.0110606,-3.52329,-4.49339,-0.131814,-0.0416339,-18.9048,0.807456657,0.622563916
19,1.918687141,26.5187,0.0812065,2.35641,-0.0144224,23.0751,7.77705,-0.0348825,-0.0291588,-6.04895,-8.65547,-0.32954,-0.0926145,-11.8158,0.903103991,0.896995616
20,2.131295862,23.5125,-0.0848797,2.23163,-0.0103325,24.2391,7.56013,-0.0517281,-0.0256797,-5.78379,-8.12797,-0.327858,-0.094034,-12.1501,0.891726763,0.881510098
21,2.482973799,20.1775,-0.26424,2.08934,-0.00373524,24.7703,7.29654,-0.062848,-0.0234056,-5.54736,-7.56762,-0.315407,-0.0922952,-12.4381,0.880382617,0.865780206
22,3.172328736,16.5317,-0.455237,1.93824,0.000631064,24.6996,6.97049,-0.0715384,-0.0244453,-5.28678,-6.98951,-0.294198,-0.0922192,-12.6747,0.869117355,0.850287501
23,4.967599023,12.6049,-0.654801,1.76877,0.00166173,23.8596,6.53903,-0.0863899,-0.0291591,-5.24107,-6.41096,-0.270243,-0.0920548,-12.8557,0.856887663,0.834658233
24,20.25331503,8.43996,-0.858507,1.5821,-5.07E-05,22.256,6.01444,-0.107099,-0.0366476,-5.21752,-5.85016,-0.245135,-0.0930448,-12.9785,0.843487422,0.817997556
25,3.066451947,23.8653,1.76775,2.44561,0.243807,17.2287,8.41702,0.164555,0.0107585,-4.51744,8.87401,0.446956,0.113306,-9.09867,0.864491283,0.893324452
26,3.368876332,21.6262,1.58343,2.34197,0.23846,18.4795,8.2262,0.192576,0.00530766,-4.86096,9.12294,0.446175,0.117603,-9.27641,0.854421278,0.883537341
27,3.834777522,19.1378,1.40839,2.22207,0.231272,19.3498,7.96273,0.223887,-0.00314586,-5.06727,9.36189,0.443538,0.116659,-9.43947,0.843038455,0.871422165
28,4.617444192,16.4084,1.24378,2.07846,0.219662,19.67,7.60914,0.245764,-0.00748658,-5.17755,9.5709,0.429018,0.113117,-9.58682,0.831295176,0.858225394
29,6.206891751,13.455,1.09034,1.90792,0.202011,19.3287,7.14279,0.25397,-0.00940641,-5.17743,9.73164,0.399422,0.105343,-9.71755,0.819798524,0.845002242
30,11.27623392,10.304,0.948529,1.71252,0.180826,18.2843,6.53962,0.249805,-0.00412824,-5.17136,9.8292,0.354148,0.098725,-9.83102,0.80810457,0.832306698
31,2.050089757,20.8033,1.29158,1.97519,0.123743,11.0778,6.80377,-0.495286,0.0718233,-7.41032,-2.29516,0.142441,-0.0884297,-7.05073,0.972973922,0.949246875
32,2.24124291,19.0614,1.18264,1.8923,0.114771,12.2883,6.70716,-0.538395,0.0712365,-7.95103,-2.14069,0.0788574,-0.0927206,-7.14301,0.968456204,0.94291071
33,2.542080099,17.06,1.06632,1.79359,0.109227,13.3303,6.56728,-0.560699,0.0654353,-8.31325,-1.95353,0.0225522,-0.0937154,-7.21909,0.963988628,0.936049394
34,3.081692255,14.7832,0.944555,1.68053,0.0984292,14.1201,6.38442,-0.579038,0.0573245,-8.45655,-1.74591,-0.0367978,-0.0983174,-7.27837,0.958648596,0.928849429
35,4.287352641,12.2205,0.819673,1.55171,0.0918468,14.516,6.14996,-0.564052,0.0479984,-8.15957,-1.53251,-0.084349,-0.0943539,-7.32039,0.952260614,0.92122738
36,9.153896794,9.36894,0.694441,1.41028,0.0807627,14.4695,5.84258,-0.548961,0.0397249,-7.74437,-1.32946,-0.130957,-0.0923504,-7.34482,0.944172847,0.911391846
37,2.742526353,17.2622,2.80617,2.66106,0.0672941,10.3107,8.9261,0.334655,-0.0729574,-1.46521,7.8178,1.01239,0.0633085,-5.67532,0.908856187,0.900310374
38,3.134792041,15.7549,2.71489,2.59517,0.057847,11.7076,8.82063,0.315191,-0.0638413,-2.40592,7.8045,0.963349,0.0648344,-5.82159,0.903831866,0.893789259
39,3.776044276,14.0403,2.62009,2.50732,0.0499542,12.9983,8.65453,0.300057,-0.0538847,-3.38873,7.78194,0.909004,0.0676152,-5.95244,0.898750077,0.887265185
40,5.031414925,12.1126,2.5218,2.40232,0.0413997,14.1201,8.42466,0.276148,-0.0415575,-4.34732,7.74137,0.841014,0.0682048,-6.06754,0.892116659,0.880531039
41,8.50757055,9.97252,2.41996,2.27566,0.0334309,14.9536,8.12479,0.252715,-0.0301781,-5.21809,7.67423,0.765051,0.0671646,-6.16681,0.883857726,0.872761325
42,62.70529964,7.6282,2.31459,2.13124,0.0271613,15.4188,7.73547,0.230319,-0.0180755,-5.91679,7.57284,0.678676,0.0672285,-6.25043,0.875282721,0.865172096
43,1.753717408,26.8785,0.107629,1.76061,0.0907425,17.4625,4.11569,-0.105705,-0.0321623,-4.14849,2.10995,-0.191937,-0.101411,-9.19967,0.745545423,0.919290272
44,1.919190559,23.7986,-0.142156,1.64139,0.0835255,17.5758,3.93604,-0.184396,-0.0251523,-4.39878,2.08633,-0.203714,-0.0946182,-9.41235,0.724832119,0.906316471
